ID,Latitude,Longitude
716084,34.061442,-118.167268
716085,34.061918,-118.162504
716088,34.066326,-118.155441
716187,34.071766,-117.769758
716193,34.081731,-117.72793
716203,34.059539,-117.804678
716272,33.872586,-118.289005
716314,33.876465,-118.104925
716339,34.078365,-118.288977
716391,34.151032,-118.680765
716404,33.931388,-118.389223
716420,33.925579,-118.313116
716431,33.927305,-118.266557
716441,33.929479,-118.226883
716659,33.845809,-118.269724
716784,33.894297,-118.104669
716922,33.986224,-118.136014
716929,34.007196,-118.156466
716934,34.019879,-118.181588
716946,34.080943,-118.22237
716958,34.111314,-118.264526
716963,34.164088,-118.295568
716989,34.221104,-118.358957
717022,34.034495,-118.366371
717033,34.035298,-118.331265
717123,34.071945,-118.082543
717148,34.06847,-118.040429
717152,34.067963,-118.027743
717171,34.07049,-117.959994
717196,34.072264,-117.909076
717202,34.072105,-117.891295
717205,34.071847,-117.888507
717209,34.072029,-117.882752
717226,34.069037,-117.841455
717269,34.032661,-118.182471
717292,34.039225,-118.081093
717296,34.041255,-118.065153
717298,34.041418,-118.066377
717340,33.994088,-117.906225
717374,33.873522,-118.246184
717384,33.873704,-118.219282
717385,33.873494,-118.219285
717399,33.876459,-118.1704
717418,33.877024,-118.139428
717420,33.8765,-118.132216
717436,33.876358,-118.074686
717445,34.06933,-118.259931
717461,34.085657,-118.301901
717465,34.094618,-118.310464
717466,34.094488,-118.310649
717481,34.106229,-118.328138
717492,34.154581,-118.381115
717520,34.16912,-118.595733
717532,34.272684,-118.558209
717533,34.272223,-118.555464
717535,34.274745,-118.538826
717571,34.153255,-118.359896
717576,34.15564,-118.29597
717607,34.148278,-118.157788
717610,34.178734,-118.394967
717622,34.176273,-118.161942
717627,34.15225,-118.154678
717628,34.152216,-118.156144
717633,34.151691,-118.142523
717644,34.152727,-118.098063
717676,34.12721,-117.917059
717746,33.861991,-118.318254
717756,33.884045,-118.351506
717813,34.159355,-118.463521
717814,34.150297,-118.468373
717823,34.202543,-118.473233
717876,33.926206,-118.1036
717888,33.966404,-118.083604
717892,33.966404,-118.083604
717909,33.994533,-118.068855
717914,34.004272,-118.064134
717922,34.005361,-118.06248
717957,34.114904,-117.97806
717970,33.887504,-118.18958
717995,33.950741,-118.170417
718012,34.005785,-118.172807
718014,34.019763,-118.173271
718016,34.032849,-118.170134
718020,34.055551,-118.185914
718047,34.121259,-117.830969
718052,34.094818,-117.819726
718066,34.121743,-118.229567
718126,33.99864,-117.856574
718151,33.929626,-118.178731
718165,34.037093,-118.274088
718221,33.800308,-118.112651
718230,33.803094,-118.137329
718253,33.830851,-118.255253
718280,33.90085,-118.370549
718292,33.990323,-118.400988
718375,34.100828,-118.248623
718404,34.320108,-118.4945
718414,34.033976,-118.361349
718466,33.92193,-118.104318
718480,33.89032,-118.360662
718493,33.907395,-118.182244
737237,34.02328,-118.473469
